sku,description,ean,url,brand,title,image_urls,currency,mfr,current_price,price
284903,DJI Osmo Gimbal and Camera Features,6958265104770,http://www.expansys.com.sg/dji-osmo-gimbal-and-camera-part-25-284903/,DJI,DJI Osmo Gimbal and Camera ,http://i1.expansys.com/img/b/284903/dji-osmo-gimbal-and-camera.jpg,SGD,CP.ZM.000251,SG$701.13,SG$701.13
273005,SJCAM SJ4000 WIFI Full HD Sports Camera Features,5055887315391,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-yellow-273005/,SJCAM,SJCAM SJ4000 WIFI Full HD Sports Camera ,http://i2.expansys.com/img/b/273005/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ4000WIFI_YE,SG$118.99,SG$118.99
264618,XBase SJ4000 WIFI Full HD Sports Camera Features,5055887308188,http://www.expansys.com.sg/xbase-sj4000-at200-wifi-full-hd-sports-camera-yellow-264618/,XBase,XBase SJ4000 WIFI Full HD Sports Camera ,http://i2.expansys.com/img/b/264618/xbase-sj4000-at200-wifi-full-hd-sports-camera.jpg,SGD,AP_SJ4000WIFI_YE,SG$125.99,SG$125.99
257344,Oregon Scientific ATC Mini Action Camera Features,4891475081450,http://www.expansys.com.sg/oregon-scientific-atc-mini-action-camera-257344/,Oregon Scientific,Oregon Scientific ATC Mini Action Camera,http://i1.expansys.com/img/b/257344/oregon-scientific-atc-mini-action-camera.jpg,SGD,HAT0082010312001,SG$306.65,SG$306.65
257342,Oregon Scientific ATC Chameleon Dual Lens Action Video Camera Features,4891475085458,http://www.expansys.com.sg/oregon-scientific-atc-chameleon-dual-lens-action-video-camera-257342/,Oregon Scientific,Oregon Scientific ATC Chameleon Dual Lens Action Video Camera ,http://i1.expansys.com/img/b/257342/oregon-scientific-atc-chameleon-dual-lens-action-video-camera.jpg,SGD,HAT0181010312001,SG$274.99,SG$274.99
284793,Transcend DrivePro 520 Features,0760557832881,http://www.expansys.com.sg/transcend-drivepro-520-car-video-recorder-284793/,Transcend,Transcend DrivePro 520 ,http://i1.expansys.com/img/b/284793/transcend-drivepro-520.jpg,SGD,TS32GDP520M,SG$294.99,SG$294.99
273008,SJCAM SJ4000 WIFI Full HD Sports Camera Features,5055887315360,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-pink-273008/,SJCAM,SJCAM SJ4000 WIFI Full HD Sports Camera ,http://i2.expansys.com/img/b/273008/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ4000WIFI_PK,SG$118.99,SG$118.99
272627,Veho UVI™ K-Series K-2 Wi-Fi Handsfree Camera Features,094922472991,http://www.expansys.com.sg/veho-muvi-k-series-k2-handsfree-camera-272627/,Veho,Veho UVI™ K-Series K-2 Wi-Fi Handsfree Camera ,http://i2.expansys.com/img/b/272627/veho-muvi-k-series-k2-handsfree-camera.jpg,SGD,VCC-006-K2,SG$444.99,SG$444.99
272626,Veho MUVI™ K-Series K-1 Wi-Fi Handsfree Camera Features,094922472984,http://www.expansys.com.sg/veho-muvi-k-series-k1-handsfree-camera-272626/,Veho,Veho MUVI™ K-Series K-1 Wi-Fi Handsfree Camera ,http://i2.expansys.com/img/b/272626/veho-muvi-k-series-k1-handsfree-camera.jpg,SGD,VCC-006-K1,SG$274.99,SG$274.99
273009,SJCAM SJ4000 WIFI Full HD Sports Camera Features,5055887315353,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-gold-273009/,SJCAM,SJCAM SJ4000 WIFI Full HD Sports Camera ,http://i2.expansys.com/img/b/273009/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ4000WIFI_GD,SG$118.99,SG$118.99
254438,Marley Positive Vibration Headphones Features,846885000762,http://www.expansys.com.sg/marley-positive-vibration-headphones-3-button-mircophone-raste-254438/,Marley,Marley Positive Vibration Headphones ,http://i2.expansys.com/img/b/254438/marley-positive-vibration-headphones.jpg,SGD,AP_EM-JH013RA,SG$72.48,SG$72.48
282314,ASUS Zenfone 2 Laser Dual SIM ZE550KL Features,4712900138535,http://www.expansys.com.sg/asus-zenfone-2-laser-dual-sim-ze550kl-unlocked-lte-16gb-red-282314/,,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,http://i1.expansys.com/img/b/282314/asus-zenfone-2-laser-dual-sim-ze550kl.jpg,SGD,889349138533,SG$264.99,SG$264.99
276489,SJCAM SJ5000 Plus WiFi Full HD Sports Camera Features,5055887324034,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-white-276489/,SJCAM,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,http://i2.expansys.com/img/b/276489/sjcam-sj5000-plus-full-hd-sports-camera.jpg,SGD,AP_SJCAMSJ5000+_WT,SG$201.65,SG$201.65
